origin_index,origin_date,target_start_date,target_end_date,m6_round,origin_role,eligible_for_training_from
2535,2018-09-21,2018-09-24,2018-10-19,,historical,2018-10-19
2555,2018-10-19,2018-10-22,2018-11-16,,historical,2018-11-16
2575,2018-11-16,2018-11-19,2018-12-14,,historical,2018-12-14
2595,2018-12-14,2018-12-17,2019-01-11,,historical,2019-01-11
2615,2019-01-11,2019-01-14,2019-02-08,,historical,2019-02-08
2635,2019-02-08,2019-02-11,2019-03-08,,historical,2019-03-08
2655,2019-03-08,2019-03-11,2019-04-05,,historical,2019-04-05
2675,2019-04-05,2019-04-08,2019-05-03,,historical,2019-05-03
2695,2019-05-03,2019-05-06,2019-05-31,,historical,2019-05-31
2715,2019-05-31,2019-06-03,2019-06-28,,historical,2019-06-28
2735,2019-06-28,2019-07-01,2019-07-26,,historical,2019-07-26
2755,2019-07-26,2019-07-29,2019-08-23,,historical,2019-08-23
2775,2019-08-23,2019-08-26,2019-09-20,,historical,2019-09-20
2795,2019-09-20,2019-09-23,2019-10-18,,historical,2019-10-18
2815,2019-10-18,2019-10-21,2019-11-15,,historical,2019-11-15
2835,2019-11-15,2019-11-18,2019-12-13,,historical,2019-12-13
2855,2019-12-13,2019-12-16,2020-01-10,,historical,2020-01-10
2875,2020-01-10,2020-01-13,2020-02-07,,historical,2020-02-07
2895,2020-02-07,2020-02-10,2020-03-06,,historical,2020-03-06
2915,2020-03-06,2020-03-09,2020-04-03,,historical,2020-04-03
2935,2020-04-03,2020-04-06,2020-05-01,,historical,2020-05-01
2955,2020-05-01,2020-05-04,2020-05-29,,historical,2020-05-29
2975,2020-05-29,2020-06-01,2020-06-26,,historical,2020-06-26
2995,2020-06-26,2020-06-29,2020-07-24,,historical,2020-07-24
3015,2020-07-24,2020-07-27,2020-08-21,,historical,2020-08-21
3035,2020-08-21,2020-08-24,2020-09-18,,historical,2020-09-18
3055,2020-09-18,2020-09-21,2020-10-16,,historical,2020-10-16
3075,2020-10-16,2020-10-19,2020-11-13,,historical,2020-11-13
3095,2020-11-13,2020-11-16,2020-12-11,,historical,2020-12-11
3115,2020-12-11,2020-12-14,2021-01-08,,historical,2021-01-08
3135,2021-01-08,2021-01-11,2021-02-05,,historical,2021-02-05
3155,2021-02-05,2021-02-08,2021-03-05,,historical,2021-03-05
3175,2021-03-05,2021-03-08,2021-04-02,,tuning,2021-04-02
3195,2021-04-02,2021-04-05,2021-04-30,,tuning,2021-04-30
3215,2021-04-30,2021-05-03,2021-05-28,,tuning,2021-05-28
3235,2021-05-28,2021-05-31,2021-06-25,,tuning,2021-06-25
3255,2021-06-25,2021-06-28,2021-07-23,,tuning,2021-07-23
3275,2021-07-23,2021-07-26,2021-08-20,,tuning,2021-08-20
3295,2021-08-20,2021-08-23,2021-09-17,,tuning,2021-09-17
3315,2021-09-17,2021-09-20,2021-10-15,,tuning,2021-10-15
3335,2021-10-15,2021-10-18,2021-11-12,,tuning,2021-11-12
3355,2021-11-12,2021-11-15,2021-12-10,,tuning,2021-12-10
3375,2021-12-10,2021-12-13,2022-01-07,,tuning,2022-01-07
3395,2022-01-07,2022-01-10,2022-02-04,,tuning,2022-02-04
3415,2022-02-04,2022-02-07,2022-03-04,,historical,2022-03-04
3435,2022-03-04,2022-03-07,2022-04-01,1.0,m6,2022-04-01
3455,2022-04-01,2022-04-04,2022-04-29,2.0,m6,2022-04-29
3475,2022-04-29,2022-05-02,2022-05-27,3.0,m6,2022-05-27
3495,2022-05-27,2022-05-30,2022-06-24,4.0,m6,2022-06-24
3515,2022-06-24,2022-06-27,2022-07-22,5.0,m6,2022-07-22
3535,2022-07-22,2022-07-25,2022-08-19,6.0,m6,2022-08-19
3555,2022-08-19,2022-08-22,2022-09-16,7.0,m6,2022-09-16
3575,2022-09-16,2022-09-19,2022-10-14,8.0,m6,2022-10-14
3595,2022-10-14,2022-10-17,2022-11-11,9.0,m6,2022-11-11
3615,2022-11-11,2022-11-14,2022-12-09,10.0,m6,2022-12-09
3635,2022-12-09,2022-12-12,2023-01-06,11.0,m6,2023-01-06
3655,2023-01-06,2023-01-09,2023-02-03,12.0,m6,2023-02-03
