official_order,symbol,first_genuine_date,last_genuine_date,genuine_observation_count,leading_missing_weekdays,forward_filled_weekdays,first_valid_log_return_date,valid_log_return_count,missing_log_return_count,raw_zero_volume_days,processed_zero_volume_days
26,DPZ,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
27,DRE,2009-01-02,2022-10-03,3462,0,214,2009-01-05,3675,1,1,90
28,DXC,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
29,EWA,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
30,EWC,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
31,EWG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
32,EWH,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
33,EWJ,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
34,EWL,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
35,EWQ,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
36,EWT,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
37,EWU,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
38,EWY,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
39,EWZ,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
40,FTV,2016-06-13,2023-02-03,1671,1941,64,2016-06-14,1734,1942,0,0
41,GOOG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
42,GPC,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
43,GSG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
44,HIG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
45,HIGH.L,2017-09-25,2023-02-03,1352,2276,48,2017-09-26,1399,2277,103,113
46,HST,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
47,HYG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
48,IAU,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
49,ICLN,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
50,IEAA.L,2017-09-25,2023-02-03,1354,2276,46,2017-09-26,1399,2277,65,70
51,IEF,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
52,IEFM.L,2015-01-19,2023-02-03,2034,1576,66,2015-01-20,2099,1577,548,566
53,IEMG,2012-10-22,2023-02-03,2588,991,97,2012-10-23,2684,992,0,0
54,IEUS,2009-01-02,2023-02-03,3501,0,175,2009-01-05,3675,1,0,0
55,IEVL.L,2015-01-19,2023-02-03,2033,1576,67,2015-01-20,2099,1577,270,280
56,IGF,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
57,INDA,2012-02-03,2023-02-03,2744,805,127,2012-02-06,2870,806,0,0
58,IUMO.L,2016-11-03,2023-02-03,1299,2044,333,2016-11-04,1631,2045,0,0
59,IUVL.L,2016-10-17,2023-02-03,1592,2031,53,2016-10-18,1644,2032,28,28
60,IVV,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
61,IWM,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
62,IXN,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
63,JPEA.L,2017-04-13,2023-02-03,1466,2159,51,2017-04-14,1516,2160,49,53
64,JPM,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
65,KR,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
66,LQD,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
67,MCHI,2011-03-31,2023-02-03,2976,584,116,2011-04-01,3091,585,1,2
68,META,2012-05-18,2023-02-03,2696,880,100,2012-05-21,2795,881,0,0
69,MVEU.L,2012-12-11,2023-02-03,2363,1027,286,2012-12-12,2648,1028,0,0
70,OGN,2021-05-14,2023-02-03,435,3225,16,2021-05-17,450,3226,0,0
71,PG,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
72,PPL,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
73,PRU,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
74,PYPL,2015-07-06,2023-02-03,1911,1696,69,2015-07-07,1979,1697,0,0
75,RE,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
76,REET,2014-07-10,2023-02-03,2153,1439,84,2014-07-11,2236,1440,0,0
77,ROL,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
78,ROST,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
79,SEGA.L,2009-06-04,2023-02-03,2629,109,938,2009-06-05,3566,110,782,814
80,SHY,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
81,SLV,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
82,SPMV.L,2013-01-03,2023-02-03,2513,1044,119,2013-01-04,2631,1045,77,84
83,TLT,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
84,UNH,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
85,URI,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
86,V,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
87,VRSK,2009-10-07,2023-02-03,3355,198,123,2009-10-08,3477,199,0,0
88,VXX,2018-01-18,2023-02-03,1271,2359,46,2018-01-19,1316,2360,3,3
89,WRK,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
90,XLB,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
91,XLC,2018-06-19,2023-02-03,1166,2467,43,2018-06-20,1208,2468,0,0
92,XLE,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
93,XLF,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
94,XLI,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
95,XLK,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
96,XLP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
97,XLU,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
98,XLV,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
99,XLY,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
100,XOM,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
