model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Chronos T5 Base 200M,3,IEUS,0.0,0.03,0.15,0.33,0.49
Chronos T5 Base 200M,3,IEVL.L,0.0,0.05,0.25,0.55,0.15
Chronos T5 Base 200M,3,IGF,0.0,0.0,0.07,0.27,0.66
Chronos T5 Base 200M,3,INDA,0.01,0.08,0.38,0.43,0.1
Chronos T5 Base 200M,3,IUMO.L,0.01,0.18,0.38,0.33,0.1
Chronos T5 Base 200M,3,IUVL.L,0.04,0.23,0.33,0.36,0.04
Chronos T5 Base 200M,3,IVV,0.0,0.02,0.09,0.23,0.66
Chronos T5 Base 200M,3,IWM,0.47,0.37,0.14,0.02,0.0
Chronos T5 Base 200M,3,IXN,0.08,0.2,0.36,0.21,0.15
Chronos T5 Base 200M,3,JPEA.L,0.0,0.14,0.48,0.29,0.09
Chronos T5 Base 200M,3,JPM,0.69,0.21,0.08,0.02,0.0
Chronos T5 Base 200M,3,KR,0.01,0.05,0.17,0.29,0.48
Chronos T5 Base 200M,3,LQD,0.0,0.15,0.73,0.12,0.0
Chronos T5 Base 200M,3,MCHI,0.99,0.0,0.01,0.0,0.0
Chronos T5 Base 200M,3,META,0.75,0.18,0.04,0.03,0.0
Chronos T5 Base 200M,3,MVEU.L,0.0,0.01,0.24,0.54,0.21
Chronos T5 Base 200M,3,OGN,0.21,0.34,0.19,0.18,0.08
Chronos T5 Base 200M,3,PG,0.0,0.01,0.13,0.28,0.58
Chronos T5 Base 200M,3,PPL,0.44,0.48,0.07,0.01,0.0
Chronos T5 Base 200M,3,PRU,0.12,0.31,0.18,0.22,0.17
Chronos T5 Base 200M,3,PYPL,0.84,0.11,0.03,0.01,0.01
Chronos T5 Base 200M,3,RE,0.05,0.16,0.27,0.35,0.17
Chronos T5 Base 200M,3,REET,0.0,0.03,0.29,0.44,0.24
Chronos T5 Base 200M,3,ROL,0.0,0.04,0.06,0.1,0.8
Chronos T5 Base 200M,3,ROST,0.12,0.22,0.2,0.22,0.24
Chronos T5 Base 200M,3,SEGA.L,0.01,0.71,0.28,0.0,0.0
Chronos T5 Base 200M,3,SHY,0.0,0.02,0.6,0.37,0.01
Chronos T5 Base 200M,3,SLV,0.02,0.12,0.11,0.22,0.53
Chronos T5 Base 200M,3,SPMV.L,0.0,0.08,0.54,0.34,0.04
Chronos T5 Base 200M,3,TLT,0.04,0.66,0.25,0.05,0.0
Chronos T5 Base 200M,3,UNH,0.03,0.37,0.23,0.2,0.17
Chronos T5 Base 200M,3,URI,0.6,0.16,0.09,0.07,0.08
Chronos T5 Base 200M,3,V,0.04,0.21,0.28,0.29,0.18
Chronos T5 Base 200M,3,VRSK,0.01,0.15,0.19,0.35,0.3
Chronos T5 Base 200M,3,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,3,WRK,0.79,0.15,0.04,0.02,0.0
Chronos T5 Base 200M,3,XLB,0.0,0.19,0.38,0.36,0.07
Chronos T5 Base 200M,3,XLC,0.04,0.33,0.37,0.22,0.04
Chronos T5 Base 200M,3,XLE,0.34,0.26,0.18,0.15,0.07
Chronos T5 Base 200M,3,XLF,0.09,0.43,0.22,0.19,0.07
Chronos T5 Base 200M,3,XLI,0.01,0.17,0.37,0.25,0.2
Chronos T5 Base 200M,3,XLK,0.23,0.32,0.24,0.13,0.08
Chronos T5 Base 200M,3,XLP,0.0,0.0,0.08,0.49,0.43
Chronos T5 Base 200M,3,XLU,0.0,0.08,0.27,0.48,0.17
Chronos T5 Base 200M,3,XLV,0.0,0.23,0.39,0.35,0.03
Chronos T5 Base 200M,3,XLY,0.0,0.0,0.06,0.18,0.76
Chronos T5 Base 200M,3,XOM,0.81,0.1,0.08,0.01,0.0
Chronos T5 Base 200M,4,ABBV,0.0,0.04,0.07,0.12,0.77
Chronos T5 Base 200M,4,ACN,0.01,0.14,0.22,0.36,0.27
Chronos T5 Base 200M,4,AEP,0.0,0.0,0.0,0.19,0.81
Chronos T5 Base 200M,4,AIZ,0.0,0.0,0.04,0.27,0.69
Chronos T5 Base 200M,4,ALLE,0.21,0.5,0.22,0.06,0.01
Chronos T5 Base 200M,4,AMAT,0.03,0.15,0.11,0.12,0.59
Chronos T5 Base 200M,4,AMP,0.52,0.32,0.12,0.03,0.01
Chronos T5 Base 200M,4,AMZN,0.21,0.42,0.25,0.08,0.04
Chronos T5 Base 200M,4,AVB,0.45,0.35,0.16,0.04,0.0
Chronos T5 Base 200M,4,AVY,0.73,0.21,0.05,0.01,0.0
Chronos T5 Base 200M,4,AXP,0.42,0.25,0.16,0.1,0.07
Chronos T5 Base 200M,4,BDX,0.01,0.01,0.22,0.41,0.35
Chronos T5 Base 200M,4,BF-B,0.02,0.08,0.35,0.41,0.14
Chronos T5 Base 200M,4,BMY,0.0,0.15,0.38,0.36,0.11
Chronos T5 Base 200M,4,BR,0.22,0.37,0.22,0.16,0.03
Chronos T5 Base 200M,4,CARR,0.82,0.14,0.03,0.01,0.0
Chronos T5 Base 200M,4,CDW,0.17,0.36,0.31,0.13,0.03
Chronos T5 Base 200M,4,CE,0.25,0.53,0.17,0.05,0.0
Chronos T5 Base 200M,4,CHTR,0.0,0.05,0.2,0.36,0.39
Chronos T5 Base 200M,4,CNC,0.23,0.4,0.24,0.08,0.05
Chronos T5 Base 200M,4,CNP,0.0,0.03,0.21,0.44,0.32
Chronos T5 Base 200M,4,COP,0.03,0.09,0.14,0.27,0.47
Chronos T5 Base 200M,4,CTAS,0.07,0.18,0.21,0.33,0.21
Chronos T5 Base 200M,4,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,4,DG,0.14,0.41,0.32,0.12,0.01
Chronos T5 Base 200M,4,DPZ,0.25,0.5,0.17,0.07,0.01
Chronos T5 Base 200M,4,DRE,0.09,0.37,0.32,0.19,0.03
Chronos T5 Base 200M,4,DXC,0.8,0.14,0.03,0.02,0.01
Chronos T5 Base 200M,4,EWA,0.0,0.01,0.15,0.43,0.41
Chronos T5 Base 200M,4,EWC,0.0,0.08,0.31,0.42,0.19
Chronos T5 Base 200M,4,EWG,0.0,0.06,0.24,0.57,0.13
Chronos T5 Base 200M,4,EWH,0.13,0.72,0.12,0.03,0.0
Chronos T5 Base 200M,4,EWJ,0.0,0.35,0.54,0.1,0.01
Chronos T5 Base 200M,4,EWL,0.0,0.04,0.35,0.51,0.1
Chronos T5 Base 200M,4,EWQ,0.0,0.07,0.36,0.42,0.15
Chronos T5 Base 200M,4,EWT,0.03,0.2,0.4,0.3,0.07
Chronos T5 Base 200M,4,EWU,0.0,0.0,0.0,0.04,0.96
Chronos T5 Base 200M,4,EWY,0.52,0.39,0.07,0.02,0.0
Chronos T5 Base 200M,4,EWZ,0.0,0.0,0.0,0.02,0.98
Chronos T5 Base 200M,4,FTV,0.26,0.39,0.15,0.14,0.06
Chronos T5 Base 200M,4,GOOG,0.34,0.48,0.16,0.01,0.01
Chronos T5 Base 200M,4,GPC,0.02,0.14,0.38,0.34,0.12
Chronos T5 Base 200M,4,GSG,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,4,HIG,0.27,0.26,0.29,0.12,0.06
Chronos T5 Base 200M,4,HIGH.L,0.01,0.1,0.51,0.32,0.06
Chronos T5 Base 200M,4,HST,0.97,0.03,0.0,0.0,0.0
Chronos T5 Base 200M,4,HYG,0.01,0.21,0.51,0.23,0.04
Chronos T5 Base 200M,4,IAU,0.0,0.01,0.24,0.56,0.19
Chronos T5 Base 200M,4,ICLN,0.37,0.22,0.16,0.12,0.13
Chronos T5 Base 200M,4,IEAA.L,0.0,0.03,0.37,0.56,0.04
Chronos T5 Base 200M,4,IEF,0.16,0.81,0.03,0.0,0.0
Chronos T5 Base 200M,4,IEFM.L,0.0,0.19,0.45,0.32,0.04
Chronos T5 Base 200M,4,IEMG,0.83,0.15,0.02,0.0,0.0
Chronos T5 Base 200M,4,IEUS,0.0,0.01,0.11,0.43,0.45
