model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Financial Chronos Small 46M 2021 Global,1,MVEU.L,0.0,0.0,0.07,0.14,0.79
Financial Chronos Small 46M 2021 Global,1,OGN,0.25,0.22,0.24,0.24,0.05
Financial Chronos Small 46M 2021 Global,1,PG,0.04,0.31,0.45,0.18,0.02
Financial Chronos Small 46M 2021 Global,1,PPL,0.23,0.2,0.19,0.26,0.12
Financial Chronos Small 46M 2021 Global,1,PRU,0.07,0.03,0.03,0.23,0.64
Financial Chronos Small 46M 2021 Global,1,PYPL,0.67,0.08,0.03,0.08,0.14
Financial Chronos Small 46M 2021 Global,1,RE,0.06,0.1,0.29,0.41,0.14
Financial Chronos Small 46M 2021 Global,1,REET,0.08,0.15,0.14,0.41,0.22
Financial Chronos Small 46M 2021 Global,1,ROL,0.13,0.29,0.23,0.3,0.05
Financial Chronos Small 46M 2021 Global,1,ROST,0.33,0.21,0.16,0.2,0.1
Financial Chronos Small 46M 2021 Global,1,SEGA.L,0.39,0.5,0.09,0.02,0.0
Financial Chronos Small 46M 2021 Global,1,SHY,0.01,0.43,0.56,0.0,0.0
Financial Chronos Small 46M 2021 Global,1,SLV,0.33,0.16,0.17,0.18,0.16
Financial Chronos Small 46M 2021 Global,1,SPMV.L,0.18,0.24,0.32,0.25,0.01
Financial Chronos Small 46M 2021 Global,1,TLT,0.53,0.27,0.11,0.08,0.01
Financial Chronos Small 46M 2021 Global,1,UNH,0.15,0.35,0.33,0.17,0.0
Financial Chronos Small 46M 2021 Global,1,URI,0.42,0.18,0.19,0.1,0.11
Financial Chronos Small 46M 2021 Global,1,V,0.26,0.24,0.21,0.2,0.09
Financial Chronos Small 46M 2021 Global,1,VRSK,0.24,0.2,0.16,0.27,0.13
Financial Chronos Small 46M 2021 Global,1,VXX,0.99,0.0,0.0,0.01,0.0
Financial Chronos Small 46M 2021 Global,1,WRK,0.44,0.17,0.15,0.08,0.16
Financial Chronos Small 46M 2021 Global,1,XLB,0.5,0.16,0.1,0.15,0.09
Financial Chronos Small 46M 2021 Global,1,XLC,0.01,0.07,0.11,0.31,0.5
Financial Chronos Small 46M 2021 Global,1,XLE,0.18,0.31,0.26,0.22,0.03
Financial Chronos Small 46M 2021 Global,1,XLF,0.13,0.18,0.22,0.34,0.13
Financial Chronos Small 46M 2021 Global,1,XLI,0.28,0.19,0.16,0.26,0.11
Financial Chronos Small 46M 2021 Global,1,XLK,0.03,0.09,0.02,0.19,0.67
Financial Chronos Small 46M 2021 Global,1,XLP,0.01,0.15,0.37,0.41,0.06
Financial Chronos Small 46M 2021 Global,1,XLU,0.2,0.31,0.24,0.21,0.04
Financial Chronos Small 46M 2021 Global,1,XLV,0.13,0.25,0.36,0.22,0.04
Financial Chronos Small 46M 2021 Global,1,XLY,0.03,0.07,0.06,0.18,0.66
Financial Chronos Small 46M 2021 Global,1,XOM,0.24,0.3,0.33,0.13,0.0
Financial Chronos Small 46M 2021 Global,2,ABBV,0.02,0.09,0.35,0.41,0.13
Financial Chronos Small 46M 2021 Global,2,ACN,0.06,0.15,0.31,0.24,0.24
Financial Chronos Small 46M 2021 Global,2,AEP,0.0,0.09,0.56,0.27,0.08
Financial Chronos Small 46M 2021 Global,2,AIZ,0.02,0.18,0.33,0.34,0.13
Financial Chronos Small 46M 2021 Global,2,ALLE,0.29,0.13,0.07,0.11,0.4
Financial Chronos Small 46M 2021 Global,2,AMAT,0.29,0.11,0.06,0.1,0.44
Financial Chronos Small 46M 2021 Global,2,AMP,0.04,0.18,0.13,0.23,0.42
Financial Chronos Small 46M 2021 Global,2,AMZN,0.18,0.32,0.31,0.17,0.02
Financial Chronos Small 46M 2021 Global,2,AVB,0.1,0.2,0.16,0.29,0.25
Financial Chronos Small 46M 2021 Global,2,AVY,0.33,0.18,0.22,0.14,0.13
Financial Chronos Small 46M 2021 Global,2,AXP,0.24,0.17,0.2,0.22,0.17
Financial Chronos Small 46M 2021 Global,2,BDX,0.01,0.15,0.52,0.22,0.1
Financial Chronos Small 46M 2021 Global,2,BF-B,0.06,0.27,0.22,0.24,0.21
Financial Chronos Small 46M 2021 Global,2,BMY,0.04,0.19,0.37,0.36,0.04
Financial Chronos Small 46M 2021 Global,2,BR,0.16,0.35,0.29,0.15,0.05
Financial Chronos Small 46M 2021 Global,2,CARR,0.17,0.24,0.14,0.16,0.29
Financial Chronos Small 46M 2021 Global,2,CDW,0.2,0.3,0.19,0.15,0.16
Financial Chronos Small 46M 2021 Global,2,CE,0.21,0.19,0.22,0.19,0.19
Financial Chronos Small 46M 2021 Global,2,CHTR,0.17,0.2,0.28,0.19,0.16
Financial Chronos Small 46M 2021 Global,2,CNC,0.03,0.21,0.26,0.26,0.24
Financial Chronos Small 46M 2021 Global,2,CNP,0.14,0.21,0.14,0.2,0.31
Financial Chronos Small 46M 2021 Global,2,COP,0.05,0.16,0.17,0.28,0.34
Financial Chronos Small 46M 2021 Global,2,CTAS,0.06,0.2,0.24,0.24,0.26
Financial Chronos Small 46M 2021 Global,2,CZR,0.77,0.08,0.05,0.04,0.06
Financial Chronos Small 46M 2021 Global,2,DG,0.11,0.3,0.27,0.26,0.06
Financial Chronos Small 46M 2021 Global,2,DPZ,0.18,0.22,0.32,0.16,0.12
Financial Chronos Small 46M 2021 Global,2,DRE,0.01,0.25,0.22,0.23,0.29
Financial Chronos Small 46M 2021 Global,2,DXC,0.35,0.13,0.05,0.2,0.27
Financial Chronos Small 46M 2021 Global,2,EWA,0.11,0.2,0.16,0.16,0.37
Financial Chronos Small 46M 2021 Global,2,EWC,0.22,0.29,0.14,0.15,0.2
Financial Chronos Small 46M 2021 Global,2,EWG,0.15,0.16,0.17,0.19,0.33
Financial Chronos Small 46M 2021 Global,2,EWH,0.19,0.16,0.17,0.1,0.38
Financial Chronos Small 46M 2021 Global,2,EWJ,0.08,0.24,0.35,0.27,0.06
Financial Chronos Small 46M 2021 Global,2,EWL,0.28,0.24,0.22,0.16,0.1
Financial Chronos Small 46M 2021 Global,2,EWQ,0.29,0.29,0.17,0.12,0.13
Financial Chronos Small 46M 2021 Global,2,EWT,0.15,0.27,0.17,0.18,0.23
Financial Chronos Small 46M 2021 Global,2,EWU,0.08,0.21,0.08,0.26,0.37
Financial Chronos Small 46M 2021 Global,2,EWY,0.47,0.23,0.1,0.1,0.1
Financial Chronos Small 46M 2021 Global,2,EWZ,0.12,0.2,0.18,0.25,0.25
Financial Chronos Small 46M 2021 Global,2,FTV,0.24,0.23,0.19,0.15,0.19
Financial Chronos Small 46M 2021 Global,2,GOOG,0.37,0.22,0.14,0.16,0.11
Financial Chronos Small 46M 2021 Global,2,GPC,0.3,0.16,0.11,0.13,0.3
Financial Chronos Small 46M 2021 Global,2,GSG,0.16,0.1,0.08,0.08,0.58
Financial Chronos Small 46M 2021 Global,2,HIG,0.13,0.2,0.17,0.19,0.31
Financial Chronos Small 46M 2021 Global,2,HIGH.L,0.02,0.11,0.29,0.44,0.14
Financial Chronos Small 46M 2021 Global,2,HST,0.23,0.19,0.1,0.14,0.34
Financial Chronos Small 46M 2021 Global,2,HYG,0.08,0.3,0.28,0.27,0.07
Financial Chronos Small 46M 2021 Global,2,IAU,0.12,0.22,0.16,0.2,0.3
Financial Chronos Small 46M 2021 Global,2,ICLN,0.41,0.14,0.1,0.14,0.21
Financial Chronos Small 46M 2021 Global,2,IEAA.L,0.01,0.34,0.27,0.32,0.06
Financial Chronos Small 46M 2021 Global,2,IEF,0.01,0.2,0.33,0.39,0.07
Financial Chronos Small 46M 2021 Global,2,IEFM.L,0.03,0.2,0.33,0.29,0.15
Financial Chronos Small 46M 2021 Global,2,IEMG,0.27,0.26,0.23,0.15,0.09
Financial Chronos Small 46M 2021 Global,2,IEUS,0.34,0.2,0.15,0.2,0.11
Financial Chronos Small 46M 2021 Global,2,IEVL.L,0.0,0.03,0.14,0.46,0.37
Financial Chronos Small 46M 2021 Global,2,IGF,0.07,0.24,0.17,0.31,0.21
Financial Chronos Small 46M 2021 Global,2,INDA,0.33,0.16,0.14,0.19,0.18
Financial Chronos Small 46M 2021 Global,2,IUMO.L,0.85,0.09,0.03,0.02,0.01
Financial Chronos Small 46M 2021 Global,2,IUVL.L,0.09,0.18,0.16,0.23,0.34
Financial Chronos Small 46M 2021 Global,2,IVV,0.26,0.24,0.13,0.14,0.23
Financial Chronos Small 46M 2021 Global,2,IWM,0.58,0.15,0.11,0.07,0.09
Financial Chronos Small 46M 2021 Global,2,IXN,0.28,0.2,0.11,0.13,0.28
Financial Chronos Small 46M 2021 Global,2,JPEA.L,0.03,0.23,0.34,0.26,0.14
Financial Chronos Small 46M 2021 Global,2,JPM,0.2,0.27,0.22,0.1,0.21
Financial Chronos Small 46M 2021 Global,2,KR,0.04,0.2,0.37,0.34,0.05
Financial Chronos Small 46M 2021 Global,2,LQD,0.1,0.26,0.38,0.19,0.07
Financial Chronos Small 46M 2021 Global,2,MCHI,0.37,0.33,0.15,0.07,0.08
Financial Chronos Small 46M 2021 Global,2,META,0.33,0.33,0.13,0.08,0.13
Financial Chronos Small 46M 2021 Global,2,MVEU.L,0.03,0.14,0.26,0.34,0.23
Financial Chronos Small 46M 2021 Global,2,OGN,0.18,0.27,0.22,0.17,0.16
Financial Chronos Small 46M 2021 Global,2,PG,0.04,0.15,0.22,0.24,0.35
Financial Chronos Small 46M 2021 Global,2,PPL,0.1,0.3,0.14,0.18,0.28
Financial Chronos Small 46M 2021 Global,2,PRU,0.03,0.09,0.24,0.24,0.4
Financial Chronos Small 46M 2021 Global,2,PYPL,0.52,0.08,0.07,0.08,0.25
Financial Chronos Small 46M 2021 Global,2,RE,0.04,0.17,0.3,0.33,0.16
Financial Chronos Small 46M 2021 Global,2,REET,0.08,0.25,0.15,0.12,0.4
Financial Chronos Small 46M 2021 Global,2,ROL,0.07,0.24,0.12,0.18,0.39
Financial Chronos Small 46M 2021 Global,2,ROST,0.29,0.14,0.2,0.16,0.21
Financial Chronos Small 46M 2021 Global,2,SEGA.L,0.04,0.56,0.39,0.01,0.0
Financial Chronos Small 46M 2021 Global,2,SHY,0.02,0.16,0.44,0.28,0.1
Financial Chronos Small 46M 2021 Global,2,SLV,0.2,0.23,0.12,0.19,0.26
Financial Chronos Small 46M 2021 Global,2,SPMV.L,0.13,0.26,0.16,0.26,0.19
Financial Chronos Small 46M 2021 Global,2,TLT,0.51,0.23,0.13,0.06,0.07
Financial Chronos Small 46M 2021 Global,2,UNH,0.02,0.19,0.33,0.36,0.1
Financial Chronos Small 46M 2021 Global,2,URI,0.18,0.23,0.14,0.27,0.18
Financial Chronos Small 46M 2021 Global,2,V,0.08,0.26,0.32,0.19,0.15
Financial Chronos Small 46M 2021 Global,2,VRSK,0.14,0.27,0.24,0.21,0.14
Financial Chronos Small 46M 2021 Global,2,VXX,0.83,0.03,0.01,0.04,0.09
Financial Chronos Small 46M 2021 Global,2,WRK,0.41,0.21,0.13,0.09,0.16
Financial Chronos Small 46M 2021 Global,2,XLB,0.77,0.12,0.0,0.06,0.05
Financial Chronos Small 46M 2021 Global,2,XLC,0.62,0.17,0.07,0.11,0.03
Financial Chronos Small 46M 2021 Global,2,XLE,0.04,0.17,0.21,0.31,0.27
Financial Chronos Small 46M 2021 Global,2,XLF,0.08,0.12,0.1,0.23,0.47
Financial Chronos Small 46M 2021 Global,2,XLI,0.98,0.01,0.01,0.0,0.0
Financial Chronos Small 46M 2021 Global,2,XLK,0.3,0.12,0.2,0.13,0.25
Financial Chronos Small 46M 2021 Global,2,XLP,0.0,0.12,0.18,0.46,0.24
Financial Chronos Small 46M 2021 Global,2,XLU,0.09,0.2,0.24,0.19,0.28
Financial Chronos Small 46M 2021 Global,2,XLV,0.08,0.24,0.18,0.3,0.2
Financial Chronos Small 46M 2021 Global,2,XLY,0.32,0.09,0.19,0.13,0.27
Financial Chronos Small 46M 2021 Global,2,XOM,0.1,0.26,0.22,0.25,0.17
Financial Chronos Small 46M 2021 Global,3,ABBV,0.03,0.06,0.12,0.31,0.48
Financial Chronos Small 46M 2021 Global,3,ACN,0.05,0.16,0.33,0.29,0.17
Financial Chronos Small 46M 2021 Global,3,AEP,0.09,0.2,0.23,0.38,0.1
Financial Chronos Small 46M 2021 Global,3,AIZ,0.05,0.19,0.42,0.32,0.02
Financial Chronos Small 46M 2021 Global,3,ALLE,0.29,0.38,0.21,0.11,0.01
Financial Chronos Small 46M 2021 Global,3,AMAT,0.26,0.08,0.15,0.15,0.36
Financial Chronos Small 46M 2021 Global,3,AMP,0.03,0.05,0.01,0.07,0.84
Financial Chronos Small 46M 2021 Global,3,AMZN,0.11,0.35,0.21,0.15,0.18
Financial Chronos Small 46M 2021 Global,3,AVB,0.04,0.12,0.21,0.37,0.26
Financial Chronos Small 46M 2021 Global,3,AVY,0.7,0.2,0.07,0.03,0.0
Financial Chronos Small 46M 2021 Global,3,AXP,0.27,0.19,0.14,0.16,0.24
Financial Chronos Small 46M 2021 Global,3,BDX,0.05,0.37,0.38,0.18,0.02
Financial Chronos Small 46M 2021 Global,3,BF-B,0.09,0.35,0.3,0.21,0.05
Financial Chronos Small 46M 2021 Global,3,BMY,0.04,0.17,0.37,0.35,0.07
Financial Chronos Small 46M 2021 Global,3,BR,0.03,0.2,0.3,0.31,0.16
Financial Chronos Small 46M 2021 Global,3,CARR,0.39,0.3,0.17,0.09,0.05
Financial Chronos Small 46M 2021 Global,3,CDW,0.19,0.24,0.16,0.29,0.12
Financial Chronos Small 46M 2021 Global,3,CE,0.33,0.32,0.19,0.13,0.03
Financial Chronos Small 46M 2021 Global,3,CHTR,0.26,0.13,0.17,0.11,0.33
Financial Chronos Small 46M 2021 Global,3,CNC,0.12,0.24,0.22,0.25,0.17
Financial Chronos Small 46M 2021 Global,3,CNP,0.15,0.22,0.21,0.25,0.17
Financial Chronos Small 46M 2021 Global,3,COP,0.13,0.1,0.13,0.19,0.45
Financial Chronos Small 46M 2021 Global,3,CTAS,0.08,0.29,0.41,0.17,0.05
Financial Chronos Small 46M 2021 Global,3,CZR,0.77,0.05,0.06,0.04,0.08
Financial Chronos Small 46M 2021 Global,3,DG,0.14,0.42,0.33,0.08,0.03
Financial Chronos Small 46M 2021 Global,3,DPZ,0.19,0.34,0.26,0.08,0.13
Financial Chronos Small 46M 2021 Global,3,DRE,0.05,0.15,0.33,0.38,0.09
Financial Chronos Small 46M 2021 Global,3,DXC,0.28,0.12,0.15,0.21,0.24
Financial Chronos Small 46M 2021 Global,3,EWA,0.12,0.14,0.11,0.29,0.34
Financial Chronos Small 46M 2021 Global,3,EWC,0.2,0.25,0.18,0.23,0.14
Financial Chronos Small 46M 2021 Global,3,EWG,0.4,0.16,0.2,0.13,0.11
Financial Chronos Small 46M 2021 Global,3,EWH,0.33,0.19,0.15,0.19,0.14
Financial Chronos Small 46M 2021 Global,3,EWJ,0.16,0.39,0.23,0.2,0.02
Financial Chronos Small 46M 2021 Global,3,EWL,0.37,0.2,0.16,0.16,0.11
Financial Chronos Small 46M 2021 Global,3,EWQ,0.33,0.22,0.17,0.22,0.06
Financial Chronos Small 46M 2021 Global,3,EWT,0.03,0.07,0.03,0.17,0.7
Financial Chronos Small 46M 2021 Global,3,EWU,0.14,0.2,0.22,0.29,0.15
Financial Chronos Small 46M 2021 Global,3,EWY,0.58,0.21,0.07,0.11,0.03
Financial Chronos Small 46M 2021 Global,3,EWZ,0.13,0.18,0.19,0.3,0.2
Financial Chronos Small 46M 2021 Global,3,FTV,0.35,0.23,0.22,0.14,0.06
Financial Chronos Small 46M 2021 Global,3,GOOG,0.07,0.07,0.05,0.09,0.72
Financial Chronos Small 46M 2021 Global,3,GPC,0.19,0.19,0.19,0.3,0.13
Financial Chronos Small 46M 2021 Global,3,GSG,0.21,0.16,0.09,0.15,0.39
Financial Chronos Small 46M 2021 Global,3,HIG,0.11,0.1,0.13,0.28,0.38
Financial Chronos Small 46M 2021 Global,3,HIGH.L,0.06,0.3,0.43,0.2,0.01
Financial Chronos Small 46M 2021 Global,3,HST,0.28,0.23,0.18,0.11,0.2
Financial Chronos Small 46M 2021 Global,3,HYG,0.14,0.37,0.35,0.14,0.0
Financial Chronos Small 46M 2021 Global,3,IAU,0.13,0.31,0.22,0.3,0.04
Financial Chronos Small 46M 2021 Global,3,ICLN,0.57,0.14,0.12,0.12,0.05
Financial Chronos Small 46M 2021 Global,3,IEAA.L,0.17,0.35,0.41,0.07,0.0
Financial Chronos Small 46M 2021 Global,3,IEF,0.08,0.38,0.3,0.21,0.03
Financial Chronos Small 46M 2021 Global,3,IEFM.L,0.35,0.12,0.15,0.19,0.19
Financial Chronos Small 46M 2021 Global,3,IEMG,0.4,0.22,0.08,0.2,0.1
Financial Chronos Small 46M 2021 Global,3,IEUS,0.44,0.08,0.12,0.1,0.26
Financial Chronos Small 46M 2021 Global,3,IEVL.L,0.03,0.14,0.43,0.37,0.03
Financial Chronos Small 46M 2021 Global,3,IGF,0.03,0.26,0.23,0.34,0.14
Financial Chronos Small 46M 2021 Global,3,INDA,0.29,0.28,0.22,0.16,0.05
Financial Chronos Small 46M 2021 Global,3,IUMO.L,0.23,0.17,0.13,0.2,0.27
Financial Chronos Small 46M 2021 Global,3,IUVL.L,0.1,0.22,0.36,0.23,0.09
Financial Chronos Small 46M 2021 Global,3,IVV,0.0,0.02,0.02,0.11,0.85
Financial Chronos Small 46M 2021 Global,3,IWM,0.09,0.01,0.05,0.14,0.71
Financial Chronos Small 46M 2021 Global,3,IXN,0.0,0.01,0.04,0.06,0.89
Financial Chronos Small 46M 2021 Global,3,JPEA.L,0.26,0.3,0.26,0.16,0.02
Financial Chronos Small 46M 2021 Global,3,JPM,0.22,0.21,0.2,0.17,0.2
Financial Chronos Small 46M 2021 Global,3,KR,0.22,0.21,0.25,0.16,0.16
Financial Chronos Small 46M 2021 Global,3,LQD,0.0,0.18,0.21,0.47,0.14
Financial Chronos Small 46M 2021 Global,3,MCHI,0.83,0.06,0.04,0.01,0.06
Financial Chronos Small 46M 2021 Global,3,META,0.44,0.24,0.14,0.09,0.09
Financial Chronos Small 46M 2021 Global,3,MVEU.L,0.0,0.15,0.31,0.51,0.03
Financial Chronos Small 46M 2021 Global,3,OGN,0.2,0.47,0.17,0.1,0.06
Financial Chronos Small 46M 2021 Global,3,PG,0.06,0.29,0.45,0.18,0.02
Financial Chronos Small 46M 2021 Global,3,PPL,0.18,0.18,0.15,0.34,0.15
Financial Chronos Small 46M 2021 Global,3,PRU,0.18,0.18,0.09,0.19,0.36
Financial Chronos Small 46M 2021 Global,3,PYPL,0.58,0.1,0.04,0.04,0.24
Financial Chronos Small 46M 2021 Global,3,RE,0.09,0.3,0.36,0.22,0.03
Financial Chronos Small 46M 2021 Global,3,REET,0.07,0.13,0.19,0.32,0.29
Financial Chronos Small 46M 2021 Global,3,ROL,0.18,0.27,0.16,0.15,0.24
Financial Chronos Small 46M 2021 Global,3,ROST,0.46,0.18,0.15,0.14,0.07
Financial Chronos Small 46M 2021 Global,3,SEGA.L,0.15,0.59,0.25,0.01,0.0
Financial Chronos Small 46M 2021 Global,3,SHY,0.03,0.38,0.53,0.06,0.0
Financial Chronos Small 46M 2021 Global,3,SLV,0.29,0.27,0.17,0.14,0.13
Financial Chronos Small 46M 2021 Global,3,SPMV.L,0.01,0.15,0.19,0.42,0.23
Financial Chronos Small 46M 2021 Global,3,TLT,0.46,0.17,0.1,0.17,0.1
Financial Chronos Small 46M 2021 Global,3,UNH,0.02,0.18,0.46,0.28,0.06
Financial Chronos Small 46M 2021 Global,3,URI,0.23,0.21,0.17,0.21,0.18
Financial Chronos Small 46M 2021 Global,3,V,0.19,0.3,0.31,0.15,0.05
Financial Chronos Small 46M 2021 Global,3,VRSK,0.09,0.18,0.32,0.35,0.06
Financial Chronos Small 46M 2021 Global,3,VXX,0.89,0.03,0.0,0.04,0.04
Financial Chronos Small 46M 2021 Global,3,WRK,0.36,0.24,0.18,0.16,0.06
Financial Chronos Small 46M 2021 Global,3,XLB,0.1,0.14,0.21,0.4,0.15
Financial Chronos Small 46M 2021 Global,3,XLC,0.0,0.01,0.03,0.03,0.93
Financial Chronos Small 46M 2021 Global,3,XLE,0.22,0.06,0.12,0.18,0.42
Financial Chronos Small 46M 2021 Global,3,XLF,0.15,0.16,0.23,0.34,0.12
Financial Chronos Small 46M 2021 Global,3,XLI,0.18,0.14,0.13,0.28,0.27
Financial Chronos Small 46M 2021 Global,3,XLK,0.0,0.0,0.0,0.05,0.95
Financial Chronos Small 46M 2021 Global,3,XLP,0.04,0.11,0.23,0.46,0.16
Financial Chronos Small 46M 2021 Global,3,XLU,0.06,0.18,0.26,0.3,0.2
Financial Chronos Small 46M 2021 Global,3,XLV,0.08,0.1,0.18,0.34,0.3
Financial Chronos Small 46M 2021 Global,3,XLY,0.01,0.01,0.03,0.06,0.89
Financial Chronos Small 46M 2021 Global,3,XOM,0.15,0.38,0.26,0.16,0.05
Financial Chronos Small 46M 2021 Global,4,ABBV,0.05,0.03,0.19,0.41,0.32
Financial Chronos Small 46M 2021 Global,4,ACN,0.05,0.25,0.39,0.26,0.05
Financial Chronos Small 46M 2021 Global,4,AEP,0.01,0.19,0.55,0.22,0.03
Financial Chronos Small 46M 2021 Global,4,AIZ,0.02,0.15,0.24,0.38,0.21
Financial Chronos Small 46M 2021 Global,4,ALLE,0.28,0.29,0.15,0.14,0.14
Financial Chronos Small 46M 2021 Global,4,AMAT,0.5,0.05,0.12,0.12,0.21
Financial Chronos Small 46M 2021 Global,4,AMP,0.47,0.16,0.12,0.14,0.11
