model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEF,0.122,0.221,0.25,0.279,0.128,0.27691319999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEFM.L,0.344,0.286,0.21,0.111,0.049,0.42504739999999985
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEMG,0.297,0.383,0.216,0.089,0.015,0.04033000000000001
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEUS,0.485,0.332,0.13,0.043,0.01,0.5559246
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEVL.L,0.287,0.237,0.231,0.174,0.071,0.35800220000000005
Chronos-2 120M (spatiotemporal Gaussian copula),1,IGF,0.008,0.109,0.356,0.426,0.101,0.04953659999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,INDA,0.298,0.322,0.185,0.137,0.058,0.4017186
Chronos-2 120M (spatiotemporal Gaussian copula),1,IUMO.L,0.266,0.234,0.226,0.158,0.116,0.1722576
Chronos-2 120M (spatiotemporal Gaussian copula),1,IUVL.L,0.127,0.2,0.227,0.24,0.206,0.142082
Chronos-2 120M (spatiotemporal Gaussian copula),1,IVV,0.007,0.216,0.458,0.305,0.014,0.030346999999999996
Chronos-2 120M (spatiotemporal Gaussian copula),1,IWM,0.064,0.247,0.254,0.281,0.154,0.06275160000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,IXN,0.195,0.282,0.245,0.183,0.095,0.0703726
Chronos-2 120M (spatiotemporal Gaussian copula),1,JPEA.L,0.313,0.321,0.213,0.133,0.02,0.1047468
Chronos-2 120M (spatiotemporal Gaussian copula),1,JPM,0.531,0.194,0.145,0.091,0.039,0.07520139999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,KR,0.2,0.109,0.09,0.121,0.48,0.3418164
Chronos-2 120M (spatiotemporal Gaussian copula),1,LQD,0.188,0.27,0.279,0.211,0.052,0.20499620000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,MCHI,0.44,0.248,0.165,0.091,0.056,0.08713780000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,META,0.452,0.168,0.121,0.099,0.16,0.36867700000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,MVEU.L,0.163,0.319,0.291,0.177,0.05,0.17178439999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,OGN,0.046,0.057,0.106,0.165,0.626,0.5464564
Chronos-2 120M (spatiotemporal Gaussian copula),1,PG,0.188,0.245,0.242,0.207,0.118,0.09527639999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,PPL,0.267,0.226,0.206,0.193,0.108,0.31972059999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,PRU,0.333,0.213,0.139,0.171,0.144,0.32219320000000007
Chronos-2 120M (spatiotemporal Gaussian copula),1,PYPL,0.658,0.108,0.082,0.075,0.077,0.5181506
Chronos-2 120M (spatiotemporal Gaussian copula),1,RE,0.239,0.211,0.17,0.187,0.193,0.259054
Chronos-2 120M (spatiotemporal Gaussian copula),1,REET,0.016,0.135,0.365,0.38,0.104,0.0536258
Chronos-2 120M (spatiotemporal Gaussian copula),1,ROL,0.078,0.1,0.147,0.224,0.451,0.26815880000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,ROST,0.321,0.164,0.147,0.149,0.219,0.1103302
Chronos-2 120M (spatiotemporal Gaussian copula),1,SEGA.L,0.203,0.272,0.251,0.216,0.058,0.19785479999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,SHY,0.088,0.319,0.331,0.233,0.029,0.2505756
Chronos-2 120M (spatiotemporal Gaussian copula),1,SLV,0.092,0.126,0.15,0.24,0.392,0.39781520000000004
Chronos-2 120M (spatiotemporal Gaussian copula),1,SPMV.L,0.043,0.178,0.267,0.344,0.168,0.0682116
Chronos-2 120M (spatiotemporal Gaussian copula),1,TLT,0.23,0.168,0.196,0.193,0.213,0.23310179999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,UNH,0.049,0.091,0.158,0.304,0.398,0.13464179999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,URI,0.216,0.144,0.134,0.161,0.345,0.16986340000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,V,0.348,0.262,0.162,0.131,0.097,0.3809194
Chronos-2 120M (spatiotemporal Gaussian copula),1,VRSK,0.211,0.215,0.206,0.2,0.168,0.263529
Chronos-2 120M (spatiotemporal Gaussian copula),1,VXX,0.417,0.062,0.037,0.061,0.423,0.204903
Chronos-2 120M (spatiotemporal Gaussian copula),1,WRK,0.423,0.2,0.131,0.144,0.102,0.22919560000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLB,0.026,0.226,0.347,0.339,0.062,0.085365
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLC,0.155,0.361,0.289,0.154,0.041,0.06599740000000001
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLE,0.034,0.055,0.104,0.165,0.642,0.214498
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLF,0.232,0.352,0.229,0.155,0.032,0.0861746
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLI,0.005,0.093,0.346,0.436,0.12,0.22743300000000005
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLK,0.135,0.282,0.257,0.209,0.117,0.06241580000000001
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLP,0.047,0.213,0.32,0.345,0.075,0.14636679999999996
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLU,0.022,0.08,0.17,0.283,0.445,0.056579400000000016
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLV,0.021,0.14,0.279,0.393,0.167,0.07357019999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,XLY,0.163,0.247,0.236,0.245,0.109,0.1247732
Chronos-2 120M (spatiotemporal Gaussian copula),1,XOM,0.047,0.084,0.115,0.209,0.545,0.5057822000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,ABBV,0.056,0.122,0.205,0.269,0.348,0.23612260000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,ACN,0.11,0.165,0.177,0.237,0.311,0.34295000000000003
Chronos-2 120M (spatiotemporal Gaussian copula),2,AEP,0.192,0.202,0.187,0.217,0.202,0.114093
Chronos-2 120M (spatiotemporal Gaussian copula),2,AIZ,0.107,0.153,0.206,0.264,0.27,0.073821
Chronos-2 120M (spatiotemporal Gaussian copula),2,ALLE,0.355,0.21,0.168,0.159,0.108,0.3556406
Chronos-2 120M (spatiotemporal Gaussian copula),2,AMAT,0.298,0.099,0.091,0.107,0.405,0.2565164
Chronos-2 120M (spatiotemporal Gaussian copula),2,AMP,0.239,0.149,0.156,0.179,0.277,0.247666
Chronos-2 120M (spatiotemporal Gaussian copula),2,AMZN,0.3,0.152,0.116,0.148,0.284,0.2115168
Chronos-2 120M (spatiotemporal Gaussian copula),2,AVB,0.185,0.212,0.184,0.215,0.204,0.2490022
Chronos-2 120M (spatiotemporal Gaussian copula),2,AVY,0.234,0.208,0.179,0.178,0.201,0.2548324
Chronos-2 120M (spatiotemporal Gaussian copula),2,AXP,0.257,0.153,0.143,0.163,0.284,0.10292279999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,BDX,0.27,0.198,0.181,0.185,0.166,0.0885362
Chronos-2 120M (spatiotemporal Gaussian copula),2,BF-B,0.235,0.236,0.2,0.193,0.136,0.29476060000000004
Chronos-2 120M (spatiotemporal Gaussian copula),2,BMY,0.165,0.222,0.23,0.196,0.187,0.2437304
Chronos-2 120M (spatiotemporal Gaussian copula),2,BR,0.154,0.218,0.235,0.21,0.183,0.1212076
Chronos-2 120M (spatiotemporal Gaussian copula),2,CARR,0.224,0.159,0.134,0.185,0.298,0.26099160000000005
Chronos-2 120M (spatiotemporal Gaussian copula),2,CDW,0.252,0.168,0.17,0.197,0.213,0.1226746
Chronos-2 120M (spatiotemporal Gaussian copula),2,CE,0.234,0.178,0.178,0.179,0.231,0.2327922000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,CHTR,0.347,0.194,0.145,0.147,0.167,0.15271500000000005
Chronos-2 120M (spatiotemporal Gaussian copula),2,CNC,0.294,0.161,0.129,0.18,0.236,0.10444260000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,CNP,0.157,0.172,0.224,0.222,0.225,0.0978648
Chronos-2 120M (spatiotemporal Gaussian copula),2,COP,0.22,0.104,0.094,0.138,0.444,0.1378472
Chronos-2 120M (spatiotemporal Gaussian copula),2,CTAS,0.137,0.161,0.179,0.219,0.304,0.09470359999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,CZR,0.327,0.084,0.075,0.103,0.411,0.2465934
Chronos-2 120M (spatiotemporal Gaussian copula),2,DG,0.278,0.181,0.149,0.19,0.202,0.2588866
Chronos-2 120M (spatiotemporal Gaussian copula),2,DPZ,0.381,0.146,0.126,0.124,0.223,0.15540559999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,DRE,0.114,0.207,0.218,0.248,0.213,0.1463854
Chronos-2 120M (spatiotemporal Gaussian copula),2,DXC,0.376,0.118,0.079,0.112,0.315,0.1357932
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWA,0.025,0.141,0.271,0.365,0.198,0.2104708
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWC,0.028,0.231,0.355,0.329,0.057,0.140422
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWG,0.227,0.203,0.194,0.2,0.176,0.10975619999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWH,0.25,0.237,0.199,0.181,0.133,0.0831908
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWJ,0.147,0.323,0.324,0.17,0.036,0.06924820000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWL,0.063,0.262,0.337,0.276,0.062,0.04553639999999999
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWQ,0.131,0.224,0.208,0.237,0.2,0.07483100000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWT,0.109,0.233,0.266,0.248,0.144,0.12384899999999995
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWU,0.069,0.244,0.31,0.282,0.095,0.0999768
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWY,0.187,0.238,0.228,0.215,0.132,0.07068539999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,EWZ,0.154,0.11,0.117,0.163,0.456,0.36970179999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,FTV,0.235,0.225,0.179,0.193,0.168,0.085074
Chronos-2 120M (spatiotemporal Gaussian copula),2,GOOG,0.175,0.184,0.184,0.21,0.247,0.2722728
Chronos-2 120M (spatiotemporal Gaussian copula),2,GPC,0.2,0.222,0.209,0.219,0.15,0.26774899999999996
Chronos-2 120M (spatiotemporal Gaussian copula),2,GSG,0.25,0.096,0.114,0.134,0.406,0.14933039999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,HIG,0.238,0.202,0.16,0.187,0.213,0.1311226
Chronos-2 120M (spatiotemporal Gaussian copula),2,HIGH.L,0.143,0.35,0.309,0.162,0.036,0.18159960000000003
Chronos-2 120M (spatiotemporal Gaussian copula),2,HST,0.267,0.144,0.112,0.162,0.315,0.19659280000000004
Chronos-2 120M (spatiotemporal Gaussian copula),2,HYG,0.059,0.443,0.35,0.144,0.004,0.196281
Chronos-2 120M (spatiotemporal Gaussian copula),2,IAU,0.235,0.232,0.164,0.189,0.18,0.26877500000000004
Chronos-2 120M (spatiotemporal Gaussian copula),2,ICLN,0.232,0.131,0.134,0.158,0.345,0.2735254
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEAA.L,0.225,0.324,0.248,0.166,0.037,0.1977208
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEF,0.301,0.269,0.198,0.142,0.09,0.202685
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEFM.L,0.145,0.232,0.202,0.255,0.166,0.10519019999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEMG,0.128,0.248,0.255,0.25,0.119,0.061616399999999995
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEUS,0.121,0.23,0.267,0.241,0.141,0.1203294
Chronos-2 120M (spatiotemporal Gaussian copula),2,IEVL.L,0.149,0.202,0.198,0.251,0.2,0.21736059999999996
Chronos-2 120M (spatiotemporal Gaussian copula),2,IGF,0.013,0.172,0.409,0.331,0.075,0.07857099999999999
Chronos-2 120M (spatiotemporal Gaussian copula),2,INDA,0.11,0.22,0.228,0.238,0.204,0.09479600000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,IUMO.L,0.174,0.198,0.225,0.198,0.205,0.1258188
Chronos-2 120M (spatiotemporal Gaussian copula),2,IUVL.L,0.169,0.216,0.207,0.238,0.17,0.11123000000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,IVV,0.014,0.222,0.41,0.333,0.021,0.1419298
Chronos-2 120M (spatiotemporal Gaussian copula),2,IWM,0.144,0.248,0.225,0.249,0.134,0.253409
Chronos-2 120M (spatiotemporal Gaussian copula),2,IXN,0.129,0.221,0.214,0.224,0.212,0.28323620000000005
Chronos-2 120M (spatiotemporal Gaussian copula),2,JPEA.L,0.191,0.278,0.256,0.208,0.067,0.06731119999999999
Chronos-2 120M (spatiotemporal Gaussian copula),2,JPM,0.345,0.199,0.161,0.176,0.119,0.1476294
Chronos-2 120M (spatiotemporal Gaussian copula),2,KR,0.277,0.131,0.124,0.13,0.338,0.1152922
Chronos-2 120M (spatiotemporal Gaussian copula),2,LQD,0.234,0.296,0.232,0.176,0.062,0.07922880000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,MCHI,0.393,0.149,0.102,0.12,0.236,0.10932899999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,META,0.356,0.125,0.097,0.123,0.299,0.19031640000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,MVEU.L,0.105,0.244,0.29,0.243,0.118,0.2638142
Chronos-2 120M (spatiotemporal Gaussian copula),2,OGN,0.282,0.146,0.131,0.156,0.285,0.13648280000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,PG,0.187,0.246,0.221,0.193,0.153,0.2735166
Chronos-2 120M (spatiotemporal Gaussian copula),2,PPL,0.251,0.207,0.2,0.172,0.17,0.14692579999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,PRU,0.212,0.146,0.14,0.182,0.32,0.1623024
Chronos-2 120M (spatiotemporal Gaussian copula),2,PYPL,0.421,0.108,0.087,0.107,0.277,0.15625340000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,RE,0.181,0.173,0.181,0.196,0.269,0.14773260000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,REET,0.067,0.231,0.334,0.278,0.09,0.047363399999999986
Chronos-2 120M (spatiotemporal Gaussian copula),2,ROL,0.261,0.168,0.16,0.177,0.234,0.13076780000000005
Chronos-2 120M (spatiotemporal Gaussian copula),2,ROST,0.405,0.173,0.122,0.141,0.159,0.3390780000000001
Chronos-2 120M (spatiotemporal Gaussian copula),2,SEGA.L,0.292,0.275,0.201,0.16,0.072,0.20035220000000004
Chronos-2 120M (spatiotemporal Gaussian copula),2,SHY,0.21,0.326,0.25,0.177,0.037,0.37531220000000004
Chronos-2 120M (spatiotemporal Gaussian copula),2,SLV,0.272,0.18,0.153,0.166,0.229,0.09735080000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,SPMV.L,0.086,0.211,0.276,0.301,0.126,0.08796199999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,TLT,0.347,0.19,0.133,0.141,0.189,0.09587980000000002
Chronos-2 120M (spatiotemporal Gaussian copula),2,UNH,0.138,0.169,0.201,0.228,0.264,0.1826106
Chronos-2 120M (spatiotemporal Gaussian copula),2,URI,0.206,0.144,0.121,0.141,0.388,0.1790642
Chronos-2 120M (spatiotemporal Gaussian copula),2,V,0.19,0.175,0.158,0.202,0.275,0.09449579999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,VRSK,0.185,0.19,0.207,0.192,0.226,0.11293
Chronos-2 120M (spatiotemporal Gaussian copula),2,VXX,0.513,0.049,0.035,0.057,0.346,0.2726276
Chronos-2 120M (spatiotemporal Gaussian copula),2,WRK,0.291,0.161,0.14,0.146,0.262,0.23681859999999996
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLB,0.022,0.167,0.301,0.39,0.12,0.058141
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLC,0.155,0.286,0.265,0.211,0.083,0.22396619999999995
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLE,0.176,0.141,0.108,0.171,0.404,0.09506119999999998
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLF,0.185,0.271,0.261,0.19,0.093,0.0837798
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLI,0.069,0.319,0.354,0.22,0.038,0.0446626
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLK,0.126,0.2,0.244,0.233,0.197,0.28837219999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLP,0.057,0.25,0.314,0.295,0.084,0.264439
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLU,0.131,0.254,0.209,0.239,0.167,0.0716222
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLV,0.065,0.265,0.309,0.266,0.095,0.0504942
Chronos-2 120M (spatiotemporal Gaussian copula),2,XLY,0.158,0.212,0.231,0.242,0.157,0.25794279999999997
Chronos-2 120M (spatiotemporal Gaussian copula),2,XOM,0.214,0.136,0.123,0.15,0.377,0.1560308
Chronos-2 120M (spatiotemporal Gaussian copula),3,ABBV,0.221,0.182,0.171,0.175,0.251,0.12074540000000003
Chronos-2 120M (spatiotemporal Gaussian copula),3,ACN,0.142,0.169,0.168,0.231,0.29,0.09448520000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,AEP,0.148,0.183,0.178,0.229,0.262,0.09183799999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,AIZ,0.118,0.174,0.224,0.262,0.222,0.1597456
Chronos-2 120M (spatiotemporal Gaussian copula),3,ALLE,0.162,0.17,0.161,0.212,0.295,0.1633084
Chronos-2 120M (spatiotemporal Gaussian copula),3,AMAT,0.281,0.112,0.099,0.121,0.387,0.1702486
Chronos-2 120M (spatiotemporal Gaussian copula),3,AMP,0.214,0.165,0.172,0.21,0.239,0.11003180000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,AMZN,0.416,0.103,0.112,0.106,0.263,0.1555494
Chronos-2 120M (spatiotemporal Gaussian copula),3,AVB,0.279,0.178,0.174,0.181,0.188,0.19723899999999997
Chronos-2 120M (spatiotemporal Gaussian copula),3,AVY,0.112,0.152,0.156,0.206,0.374,0.36130319999999994
Chronos-2 120M (spatiotemporal Gaussian copula),3,AXP,0.21,0.157,0.16,0.174,0.299,0.26758380000000004
Chronos-2 120M (spatiotemporal Gaussian copula),3,BDX,0.294,0.178,0.165,0.174,0.189,0.15014199999999997
Chronos-2 120M (spatiotemporal Gaussian copula),3,BF-B,0.171,0.22,0.203,0.233,0.173,0.11897739999999997
Chronos-2 120M (spatiotemporal Gaussian copula),3,BMY,0.171,0.199,0.207,0.201,0.222,0.07887079999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,BR,0.163,0.195,0.194,0.225,0.223,0.0810332
Chronos-2 120M (spatiotemporal Gaussian copula),3,CARR,0.325,0.171,0.145,0.166,0.193,0.1599542
Chronos-2 120M (spatiotemporal Gaussian copula),3,CDW,0.17,0.177,0.145,0.226,0.282,0.0941794
Chronos-2 120M (spatiotemporal Gaussian copula),3,CE,0.126,0.138,0.156,0.212,0.368,0.1322792
Chronos-2 120M (spatiotemporal Gaussian copula),3,CHTR,0.518,0.145,0.109,0.098,0.13,0.41215540000000006
Chronos-2 120M (spatiotemporal Gaussian copula),3,CNC,0.283,0.151,0.142,0.17,0.254,0.1329474
Chronos-2 120M (spatiotemporal Gaussian copula),3,CNP,0.134,0.159,0.211,0.222,0.274,0.1769794
Chronos-2 120M (spatiotemporal Gaussian copula),3,COP,0.248,0.106,0.089,0.139,0.418,0.14435859999999998
Chronos-2 120M (spatiotemporal Gaussian copula),3,CTAS,0.146,0.181,0.185,0.251,0.237,0.08451159999999999
Chronos-2 120M (spatiotemporal Gaussian copula),3,CZR,0.318,0.071,0.077,0.111,0.423,0.26050599999999996
Chronos-2 120M (spatiotemporal Gaussian copula),3,DG,0.21,0.168,0.161,0.183,0.278,0.2601578
Chronos-2 120M (spatiotemporal Gaussian copula),3,DPZ,0.455,0.14,0.103,0.129,0.173,0.3464366
Chronos-2 120M (spatiotemporal Gaussian copula),3,DRE,0.129,0.174,0.18,0.24,0.277,0.16929360000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,DXC,0.364,0.142,0.092,0.126,0.276,0.25406239999999997
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWA,0.105,0.288,0.318,0.227,0.062,0.05056780000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWC,0.043,0.29,0.381,0.255,0.031,0.039098999999999995
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWG,0.227,0.277,0.219,0.204,0.073,0.1667206
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWH,0.263,0.26,0.214,0.165,0.098,0.1790942
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWJ,0.137,0.336,0.323,0.177,0.027,0.1753686
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWL,0.086,0.297,0.337,0.233,0.047,0.09373880000000001
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWQ,0.125,0.278,0.264,0.238,0.095,0.12638960000000002
Chronos-2 120M (spatiotemporal Gaussian copula),3,EWT,0.176,0.275,0.263,0.213,0.073,0.06430040000000001
