model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (independent quantile sampling),1,DRE,0.083,0.173,0.194,0.281,0.269,0.0694572
Chronos-2 120M (independent quantile sampling),1,DXC,0.513,0.117,0.083,0.097,0.19,0.1557076
Chronos-2 120M (independent quantile sampling),1,EWA,0.055,0.101,0.172,0.306,0.366,0.053780200000000014
Chronos-2 120M (independent quantile sampling),1,EWC,0.04,0.156,0.227,0.328,0.249,0.08698919999999999
Chronos-2 120M (independent quantile sampling),1,EWG,0.552,0.212,0.104,0.081,0.051,0.5084850000000001
Chronos-2 120M (independent quantile sampling),1,EWH,0.278,0.338,0.226,0.139,0.019,0.09641300000000003
Chronos-2 120M (independent quantile sampling),1,EWJ,0.208,0.364,0.269,0.142,0.017,0.05040360000000001
Chronos-2 120M (independent quantile sampling),1,EWL,0.188,0.374,0.254,0.159,0.025,0.20353380000000007
Chronos-2 120M (independent quantile sampling),1,EWQ,0.39,0.243,0.158,0.138,0.071,0.40830219999999995
Chronos-2 120M (independent quantile sampling),1,EWT,0.137,0.3,0.24,0.241,0.082,0.2345582
Chronos-2 120M (independent quantile sampling),1,EWU,0.292,0.276,0.177,0.176,0.079,0.19383080000000005
Chronos-2 120M (independent quantile sampling),1,EWY,0.258,0.274,0.196,0.197,0.075,0.07303939999999999
Chronos-2 120M (independent quantile sampling),1,EWZ,0.096,0.145,0.152,0.231,0.376,0.12222439999999998
Chronos-2 120M (independent quantile sampling),1,FTV,0.352,0.218,0.151,0.178,0.101,0.0793692
Chronos-2 120M (independent quantile sampling),1,GOOG,0.18,0.177,0.171,0.229,0.243,0.0995364
Chronos-2 120M (independent quantile sampling),1,GPC,0.384,0.205,0.148,0.166,0.097,0.078991
Chronos-2 120M (independent quantile sampling),1,GSG,0.023,0.059,0.055,0.13,0.733,0.6158622
Chronos-2 120M (independent quantile sampling),1,HIG,0.294,0.174,0.161,0.165,0.206,0.1487074
Chronos-2 120M (independent quantile sampling),1,HIGH.L,0.009,0.417,0.53,0.044,0.0,0.06629860000000001
Chronos-2 120M (independent quantile sampling),1,HST,0.282,0.161,0.15,0.159,0.248,0.2385852
Chronos-2 120M (independent quantile sampling),1,HYG,0.003,0.264,0.62,0.113,0.0,0.11001340000000001
Chronos-2 120M (independent quantile sampling),1,IAU,0.008,0.152,0.284,0.411,0.145,0.403965
Chronos-2 120M (independent quantile sampling),1,ICLN,0.227,0.14,0.13,0.168,0.335,0.17509040000000003
Chronos-2 120M (independent quantile sampling),1,IEAA.L,0.0,0.222,0.724,0.054,0.0,0.32164000000000004
Chronos-2 120M (independent quantile sampling),1,IEF,0.005,0.223,0.507,0.26,0.005,0.33125180000000004
Chronos-2 120M (independent quantile sampling),1,IEFM.L,0.326,0.292,0.168,0.151,0.063,0.396793
Chronos-2 120M (independent quantile sampling),1,IEMG,0.315,0.335,0.187,0.139,0.024,0.049774
Chronos-2 120M (independent quantile sampling),1,IEUS,0.43,0.269,0.16,0.093,0.048,0.46353720000000004
Chronos-2 120M (independent quantile sampling),1,IEVL.L,0.293,0.237,0.17,0.182,0.118,0.3269346000000001
Chronos-2 120M (independent quantile sampling),1,IGF,0.04,0.163,0.262,0.373,0.162,0.057055600000000005
Chronos-2 120M (independent quantile sampling),1,INDA,0.303,0.271,0.179,0.168,0.079,0.3673070000000001
Chronos-2 120M (independent quantile sampling),1,IUMO.L,0.24,0.25,0.204,0.186,0.12,0.1587472
Chronos-2 120M (independent quantile sampling),1,IUVL.L,0.167,0.214,0.191,0.208,0.22,0.1285268
Chronos-2 120M (independent quantile sampling),1,IVV,0.118,0.226,0.229,0.298,0.129,0.066246
Chronos-2 120M (independent quantile sampling),1,IWM,0.127,0.21,0.206,0.246,0.211,0.07661360000000002
Chronos-2 120M (independent quantile sampling),1,IXN,0.231,0.23,0.195,0.21,0.134,0.0804348
Chronos-2 120M (independent quantile sampling),1,JPEA.L,0.255,0.408,0.245,0.082,0.01,0.1026316
Chronos-2 120M (independent quantile sampling),1,JPM,0.476,0.199,0.14,0.121,0.064,0.07410439999999999
Chronos-2 120M (independent quantile sampling),1,KR,0.177,0.123,0.088,0.154,0.458,0.35032739999999996
Chronos-2 120M (independent quantile sampling),1,LQD,0.037,0.39,0.436,0.133,0.004,0.2548966
Chronos-2 120M (independent quantile sampling),1,MCHI,0.431,0.275,0.144,0.106,0.044,0.08692659999999999
Chronos-2 120M (independent quantile sampling),1,META,0.445,0.152,0.108,0.129,0.166,0.34940299999999996
Chronos-2 120M (independent quantile sampling),1,MVEU.L,0.13,0.354,0.299,0.193,0.024,0.17296419999999998
Chronos-2 120M (independent quantile sampling),1,OGN,0.042,0.079,0.124,0.215,0.54,0.5104059999999999
Chronos-2 120M (independent quantile sampling),1,PG,0.164,0.266,0.222,0.239,0.109,0.09695619999999999
Chronos-2 120M (independent quantile sampling),1,PPL,0.248,0.216,0.183,0.214,0.139,0.287346
Chronos-2 120M (independent quantile sampling),1,PRU,0.307,0.192,0.127,0.187,0.187,0.279219
Chronos-2 120M (independent quantile sampling),1,PYPL,0.611,0.117,0.078,0.084,0.11,0.46900819999999993
Chronos-2 120M (independent quantile sampling),1,RE,0.266,0.183,0.154,0.191,0.206,0.25328040000000007
Chronos-2 120M (independent quantile sampling),1,REET,0.042,0.203,0.28,0.333,0.142,0.06151559999999999
Chronos-2 120M (independent quantile sampling),1,ROL,0.073,0.114,0.152,0.228,0.433,0.25814159999999997
Chronos-2 120M (independent quantile sampling),1,ROST,0.31,0.153,0.145,0.151,0.241,0.11924280000000001
Chronos-2 120M (independent quantile sampling),1,SEGA.L,0.018,0.404,0.469,0.108,0.001,0.26205799999999996
Chronos-2 120M (independent quantile sampling),1,SHY,0.0,0.131,0.865,0.004,0.0,0.3510354
Chronos-2 120M (independent quantile sampling),1,SLV,0.07,0.144,0.172,0.322,0.292,0.3889912
Chronos-2 120M (independent quantile sampling),1,SPMV.L,0.074,0.186,0.275,0.308,0.157,0.06279
Chronos-2 120M (independent quantile sampling),1,TLT,0.12,0.28,0.24,0.263,0.097,0.25468179999999996
Chronos-2 120M (independent quantile sampling),1,UNH,0.058,0.137,0.162,0.268,0.375,0.11909260000000002
Chronos-2 120M (independent quantile sampling),1,URI,0.255,0.133,0.117,0.16,0.335,0.1825638
Chronos-2 120M (independent quantile sampling),1,V,0.38,0.21,0.144,0.158,0.108,0.365384
Chronos-2 120M (independent quantile sampling),1,VRSK,0.173,0.244,0.207,0.213,0.163,0.2587526
Chronos-2 120M (independent quantile sampling),1,VXX,0.389,0.084,0.052,0.089,0.386,0.2051342
Chronos-2 120M (independent quantile sampling),1,WRK,0.423,0.181,0.126,0.15,0.12,0.21820899999999996
Chronos-2 120M (independent quantile sampling),1,XLB,0.117,0.214,0.208,0.306,0.155,0.08755920000000002
Chronos-2 120M (independent quantile sampling),1,XLC,0.217,0.282,0.215,0.197,0.089,0.07716140000000002
Chronos-2 120M (independent quantile sampling),1,XLE,0.05,0.094,0.092,0.207,0.557,0.1834362
Chronos-2 120M (independent quantile sampling),1,XLF,0.278,0.244,0.213,0.166,0.099,0.08595880000000002
Chronos-2 120M (independent quantile sampling),1,XLI,0.077,0.188,0.202,0.291,0.242,0.17776139999999996
Chronos-2 120M (independent quantile sampling),1,XLK,0.196,0.225,0.201,0.213,0.165,0.0771532
Chronos-2 120M (independent quantile sampling),1,XLP,0.037,0.23,0.322,0.331,0.08,0.14279579999999997
Chronos-2 120M (independent quantile sampling),1,XLU,0.027,0.111,0.156,0.329,0.377,0.049667600000000006
Chronos-2 120M (independent quantile sampling),1,XLV,0.039,0.171,0.279,0.34,0.171,0.06719659999999997
Chronos-2 120M (independent quantile sampling),1,XLY,0.213,0.242,0.173,0.205,0.167,0.13493339999999998
Chronos-2 120M (independent quantile sampling),1,XOM,0.076,0.111,0.107,0.205,0.501,0.4528364
Chronos-2 120M (independent quantile sampling),2,ABBV,0.04,0.125,0.196,0.331,0.308,0.240402
Chronos-2 120M (independent quantile sampling),2,ACN,0.167,0.166,0.157,0.206,0.304,0.29825880000000005
Chronos-2 120M (independent quantile sampling),2,AEP,0.118,0.205,0.271,0.272,0.134,0.09780900000000001
Chronos-2 120M (independent quantile sampling),2,AIZ,0.125,0.157,0.188,0.268,0.262,0.07693860000000001
Chronos-2 120M (independent quantile sampling),2,ALLE,0.317,0.181,0.169,0.182,0.151,0.3028366
Chronos-2 120M (independent quantile sampling),2,AMAT,0.312,0.095,0.094,0.114,0.385,0.2444438
Chronos-2 120M (independent quantile sampling),2,AMP,0.283,0.133,0.124,0.17,0.29,0.23016900000000007
Chronos-2 120M (independent quantile sampling),2,AMZN,0.297,0.151,0.109,0.167,0.276,0.21426760000000006
Chronos-2 120M (independent quantile sampling),2,AVB,0.214,0.186,0.162,0.216,0.222,0.24378479999999997
Chronos-2 120M (independent quantile sampling),2,AVY,0.276,0.162,0.149,0.166,0.247,0.23591960000000006
Chronos-2 120M (independent quantile sampling),2,AXP,0.244,0.147,0.131,0.185,0.293,0.10534999999999999
Chronos-2 120M (independent quantile sampling),2,BDX,0.205,0.225,0.205,0.215,0.15,0.07653
Chronos-2 120M (independent quantile sampling),2,BF-B,0.222,0.225,0.206,0.221,0.126,0.2878756
Chronos-2 120M (independent quantile sampling),2,BMY,0.126,0.217,0.26,0.278,0.119,0.254659
Chronos-2 120M (independent quantile sampling),2,BR,0.193,0.205,0.2,0.226,0.176,0.11844659999999999
Chronos-2 120M (independent quantile sampling),2,CARR,0.203,0.146,0.155,0.169,0.327,0.282391
Chronos-2 120M (independent quantile sampling),2,CDW,0.266,0.165,0.145,0.187,0.237,0.12609239999999997
Chronos-2 120M (independent quantile sampling),2,CE,0.259,0.17,0.139,0.185,0.247,0.22815100000000008
Chronos-2 120M (independent quantile sampling),2,CHTR,0.329,0.201,0.17,0.181,0.119,0.1550604
Chronos-2 120M (independent quantile sampling),2,CNC,0.3,0.137,0.159,0.169,0.235,0.099882
Chronos-2 120M (independent quantile sampling),2,CNP,0.154,0.174,0.202,0.27,0.2,0.09043999999999999
Chronos-2 120M (independent quantile sampling),2,COP,0.205,0.12,0.112,0.16,0.403,0.1254056
Chronos-2 120M (independent quantile sampling),2,CTAS,0.158,0.149,0.154,0.206,0.333,0.10412460000000001
Chronos-2 120M (independent quantile sampling),2,CZR,0.342,0.083,0.079,0.098,0.398,0.23360179999999997
Chronos-2 120M (independent quantile sampling),2,DG,0.255,0.204,0.178,0.183,0.18,0.27077500000000004
Chronos-2 120M (independent quantile sampling),2,DPZ,0.348,0.149,0.132,0.17,0.201,0.171231
Chronos-2 120M (independent quantile sampling),2,DRE,0.14,0.178,0.216,0.253,0.213,0.14944979999999997
Chronos-2 120M (independent quantile sampling),2,DXC,0.359,0.104,0.096,0.119,0.322,0.14308300000000002
Chronos-2 120M (independent quantile sampling),2,EWA,0.095,0.148,0.248,0.292,0.217,0.1776488
Chronos-2 120M (independent quantile sampling),2,EWC,0.105,0.209,0.274,0.269,0.143,0.13436279999999995
Chronos-2 120M (independent quantile sampling),2,EWG,0.291,0.173,0.141,0.185,0.21,0.11442040000000002
Chronos-2 120M (independent quantile sampling),2,EWH,0.211,0.246,0.188,0.228,0.127,0.07910479999999999
Chronos-2 120M (independent quantile sampling),2,EWJ,0.169,0.269,0.257,0.221,0.084,0.08889719999999998
Chronos-2 120M (independent quantile sampling),2,EWL,0.103,0.24,0.263,0.284,0.11,0.059118800000000006
Chronos-2 120M (independent quantile sampling),2,EWQ,0.21,0.162,0.151,0.222,0.255,0.0950076
Chronos-2 120M (independent quantile sampling),2,EWT,0.141,0.214,0.223,0.248,0.174,0.1288532
Chronos-2 120M (independent quantile sampling),2,EWU,0.142,0.238,0.237,0.242,0.141,0.11302680000000001
Chronos-2 120M (independent quantile sampling),2,EWY,0.25,0.214,0.186,0.209,0.141,0.08403540000000001
Chronos-2 120M (independent quantile sampling),2,EWZ,0.142,0.13,0.127,0.193,0.408,0.35876259999999993
Chronos-2 120M (independent quantile sampling),2,FTV,0.278,0.184,0.162,0.178,0.198,0.0942616
Chronos-2 120M (independent quantile sampling),2,GOOG,0.221,0.15,0.151,0.212,0.266,0.26034440000000003
Chronos-2 120M (independent quantile sampling),2,GPC,0.232,0.185,0.157,0.212,0.214,0.23499700000000004
Chronos-2 120M (independent quantile sampling),2,GSG,0.213,0.123,0.133,0.168,0.363,0.156799
Chronos-2 120M (independent quantile sampling),2,HIG,0.276,0.152,0.162,0.178,0.232,0.1322568
Chronos-2 120M (independent quantile sampling),2,HIGH.L,0.027,0.407,0.5,0.065,0.001,0.21228839999999996
Chronos-2 120M (independent quantile sampling),2,HST,0.258,0.108,0.136,0.171,0.327,0.18109060000000002
Chronos-2 120M (independent quantile sampling),2,HYG,0.045,0.402,0.416,0.132,0.005,0.18932560000000004
Chronos-2 120M (independent quantile sampling),2,IAU,0.131,0.28,0.314,0.227,0.048,0.3236022
Chronos-2 120M (independent quantile sampling),2,ICLN,0.261,0.143,0.126,0.164,0.306,0.2431746
Chronos-2 120M (independent quantile sampling),2,IEAA.L,0.004,0.549,0.435,0.012,0.0,0.2563938
Chronos-2 120M (independent quantile sampling),2,IEF,0.089,0.478,0.364,0.069,0.0,0.23923419999999998
Chronos-2 120M (independent quantile sampling),2,IEFM.L,0.151,0.219,0.218,0.24,0.172,0.1070058
Chronos-2 120M (independent quantile sampling),2,IEMG,0.183,0.221,0.216,0.236,0.144,0.0723682
Chronos-2 120M (independent quantile sampling),2,IEUS,0.209,0.177,0.185,0.236,0.193,0.1283934
Chronos-2 120M (independent quantile sampling),2,IEVL.L,0.166,0.197,0.196,0.235,0.206,0.2204484
Chronos-2 120M (independent quantile sampling),2,IGF,0.059,0.176,0.305,0.336,0.124,0.07313639999999999
Chronos-2 120M (independent quantile sampling),2,INDA,0.159,0.176,0.201,0.243,0.221,0.0947286
Chronos-2 120M (independent quantile sampling),2,IUMO.L,0.174,0.195,0.195,0.233,0.203,0.13194839999999997
Chronos-2 120M (independent quantile sampling),2,IUVL.L,0.189,0.224,0.207,0.198,0.182,0.1247628
Chronos-2 120M (independent quantile sampling),2,IVV,0.137,0.205,0.204,0.291,0.163,0.13688360000000005
Chronos-2 120M (independent quantile sampling),2,IWM,0.18,0.201,0.191,0.23,0.198,0.2555898
Chronos-2 120M (independent quantile sampling),2,IXN,0.19,0.175,0.16,0.241,0.234,0.2679412
Chronos-2 120M (independent quantile sampling),2,JPEA.L,0.114,0.359,0.33,0.18,0.017,0.055164599999999994
Chronos-2 120M (independent quantile sampling),2,JPM,0.323,0.184,0.145,0.185,0.163,0.1698102
Chronos-2 120M (independent quantile sampling),2,KR,0.239,0.15,0.134,0.18,0.297,0.104836
Chronos-2 120M (independent quantile sampling),2,LQD,0.083,0.424,0.38,0.107,0.006,0.05534859999999999
Chronos-2 120M (independent quantile sampling),2,MCHI,0.399,0.146,0.12,0.125,0.21,0.10451019999999997
Chronos-2 120M (independent quantile sampling),2,META,0.345,0.121,0.092,0.146,0.296,0.19943220000000003
Chronos-2 120M (independent quantile sampling),2,MVEU.L,0.092,0.254,0.303,0.281,0.07,0.2828562
Chronos-2 120M (independent quantile sampling),2,OGN,0.285,0.168,0.123,0.161,0.263,0.12587580000000004
Chronos-2 120M (independent quantile sampling),2,PG,0.155,0.249,0.221,0.256,0.119,0.2708054
Chronos-2 120M (independent quantile sampling),2,PPL,0.248,0.185,0.177,0.206,0.184,0.1309898
Chronos-2 120M (independent quantile sampling),2,PRU,0.218,0.111,0.147,0.181,0.343,0.17799800000000005
Chronos-2 120M (independent quantile sampling),2,PYPL,0.425,0.099,0.078,0.108,0.29,0.159941
Chronos-2 120M (independent quantile sampling),2,RE,0.212,0.158,0.164,0.204,0.262,0.1455288
Chronos-2 120M (independent quantile sampling),2,REET,0.12,0.232,0.254,0.257,0.137,0.0624618
Chronos-2 120M (independent quantile sampling),2,ROL,0.222,0.176,0.157,0.231,0.214,0.11230180000000001
Chronos-2 120M (independent quantile sampling),2,ROST,0.366,0.179,0.119,0.137,0.199,0.30269559999999995
Chronos-2 120M (independent quantile sampling),2,SEGA.L,0.073,0.476,0.384,0.066,0.001,0.23544399999999993
Chronos-2 120M (independent quantile sampling),2,SHY,0.0,0.503,0.497,0.0,0.0,0.4506018
Chronos-2 120M (independent quantile sampling),2,SLV,0.224,0.209,0.219,0.219,0.129,0.07508200000000001
Chronos-2 120M (independent quantile sampling),2,SPMV.L,0.098,0.217,0.286,0.289,0.11,0.096426
Chronos-2 120M (independent quantile sampling),2,TLT,0.236,0.282,0.224,0.198,0.06,0.07163679999999999
Chronos-2 120M (independent quantile sampling),2,UNH,0.153,0.169,0.168,0.25,0.26,0.1829586
Chronos-2 120M (independent quantile sampling),2,URI,0.249,0.121,0.113,0.157,0.36,0.171158
Chronos-2 120M (independent quantile sampling),2,V,0.225,0.151,0.152,0.194,0.278,0.0984138
Chronos-2 120M (independent quantile sampling),2,VRSK,0.162,0.192,0.215,0.237,0.194,0.1025914
Chronos-2 120M (independent quantile sampling),2,VXX,0.524,0.056,0.051,0.062,0.307,0.2978772000000001
Chronos-2 120M (independent quantile sampling),2,WRK,0.306,0.161,0.126,0.143,0.264,0.24101399999999998
Chronos-2 120M (independent quantile sampling),2,XLB,0.098,0.181,0.202,0.302,0.217,0.07317900000000001
Chronos-2 120M (independent quantile sampling),2,XLC,0.205,0.219,0.206,0.215,0.155,0.2249452
Chronos-2 120M (independent quantile sampling),2,XLE,0.183,0.117,0.164,0.173,0.363,0.09411079999999998
Chronos-2 120M (independent quantile sampling),2,XLF,0.231,0.19,0.212,0.215,0.152,0.10927899999999999
Chronos-2 120M (independent quantile sampling),2,XLI,0.189,0.23,0.212,0.224,0.145,0.07369360000000001
Chronos-2 120M (independent quantile sampling),2,XLK,0.176,0.168,0.206,0.208,0.242,0.2740752000000001
Chronos-2 120M (independent quantile sampling),2,XLP,0.053,0.23,0.357,0.296,0.064,0.2737188
Chronos-2 120M (independent quantile sampling),2,XLU,0.109,0.225,0.269,0.271,0.126,0.059384400000000004
Chronos-2 120M (independent quantile sampling),2,XLV,0.085,0.239,0.304,0.288,0.084,0.0515282
Chronos-2 120M (independent quantile sampling),2,XLY,0.211,0.198,0.182,0.2,0.209,0.23655280000000004
Chronos-2 120M (independent quantile sampling),2,XOM,0.216,0.141,0.12,0.181,0.342,0.16691959999999997
Chronos-2 120M (independent quantile sampling),3,ABBV,0.181,0.181,0.155,0.25,0.233,0.09707659999999999
Chronos-2 120M (independent quantile sampling),3,ACN,0.208,0.175,0.121,0.196,0.3,0.1051938
Chronos-2 120M (independent quantile sampling),3,AEP,0.093,0.181,0.231,0.298,0.197,0.0755118
Chronos-2 120M (independent quantile sampling),3,AIZ,0.123,0.181,0.193,0.278,0.225,0.1606358
Chronos-2 120M (independent quantile sampling),3,ALLE,0.184,0.14,0.139,0.217,0.32,0.17632019999999995
Chronos-2 120M (independent quantile sampling),3,AMAT,0.297,0.11,0.097,0.133,0.363,0.1827286
Chronos-2 120M (independent quantile sampling),3,AMP,0.259,0.156,0.137,0.172,0.276,0.12403720000000003
Chronos-2 120M (independent quantile sampling),3,AMZN,0.398,0.119,0.088,0.13,0.265,0.16438859999999997
Chronos-2 120M (independent quantile sampling),3,AVB,0.266,0.186,0.151,0.187,0.21,0.2081538
Chronos-2 120M (independent quantile sampling),3,AVY,0.171,0.136,0.131,0.204,0.358,0.32229959999999996
Chronos-2 120M (independent quantile sampling),3,AXP,0.208,0.16,0.127,0.21,0.295,0.2737476
Chronos-2 120M (independent quantile sampling),3,BDX,0.23,0.206,0.19,0.199,0.175,0.1330994
Chronos-2 120M (independent quantile sampling),3,BF-B,0.18,0.201,0.212,0.251,0.156,0.1211092
Chronos-2 120M (independent quantile sampling),3,BMY,0.137,0.2,0.216,0.286,0.161,0.0716136
Chronos-2 120M (independent quantile sampling),3,BR,0.218,0.176,0.177,0.214,0.215,0.08660520000000002
Chronos-2 120M (independent quantile sampling),3,CARR,0.277,0.175,0.15,0.155,0.243,0.14049720000000002
Chronos-2 120M (independent quantile sampling),3,CDW,0.205,0.165,0.147,0.192,0.291,0.10617899999999998
Chronos-2 120M (independent quantile sampling),3,CE,0.171,0.136,0.142,0.192,0.359,0.1471944
Chronos-2 120M (independent quantile sampling),3,CHTR,0.498,0.159,0.12,0.118,0.105,0.4168814
Chronos-2 120M (independent quantile sampling),3,CNC,0.282,0.149,0.145,0.18,0.244,0.13131939999999998
Chronos-2 120M (independent quantile sampling),3,CNP,0.138,0.17,0.174,0.269,0.249,0.18204660000000006
Chronos-2 120M (independent quantile sampling),3,COP,0.23,0.12,0.112,0.153,0.385,0.1534138
Chronos-2 120M (independent quantile sampling),3,CTAS,0.159,0.18,0.151,0.228,0.282,0.0959652
Chronos-2 120M (independent quantile sampling),3,CZR,0.321,0.091,0.078,0.1,0.41,0.246997
Chronos-2 120M (independent quantile sampling),3,DG,0.189,0.188,0.175,0.223,0.225,0.2594358
Chronos-2 120M (independent quantile sampling),3,DPZ,0.406,0.16,0.125,0.14,0.169,0.3306468000000001
Chronos-2 120M (independent quantile sampling),3,DRE,0.146,0.157,0.184,0.238,0.275,0.16918380000000002
Chronos-2 120M (independent quantile sampling),3,DXC,0.35,0.13,0.105,0.137,0.278,0.24328180000000002
Chronos-2 120M (independent quantile sampling),3,EWA,0.177,0.247,0.224,0.243,0.109,0.069378
Chronos-2 120M (independent quantile sampling),3,EWC,0.135,0.251,0.243,0.256,0.115,0.06361739999999999
Chronos-2 120M (independent quantile sampling),3,EWG,0.295,0.217,0.169,0.173,0.146,0.1668492
Chronos-2 120M (independent quantile sampling),3,EWH,0.205,0.29,0.206,0.214,0.085,0.15713519999999997
Chronos-2 120M (independent quantile sampling),3,EWJ,0.17,0.282,0.256,0.221,0.071,0.14790179999999997
Chronos-2 120M (independent quantile sampling),3,EWL,0.117,0.274,0.255,0.272,0.082,0.10332199999999998
Chronos-2 120M (independent quantile sampling),3,EWQ,0.206,0.206,0.206,0.227,0.155,0.12362579999999998
Chronos-2 120M (independent quantile sampling),3,EWT,0.201,0.244,0.209,0.238,0.108,0.0739612
Chronos-2 120M (independent quantile sampling),3,EWU,0.137,0.241,0.258,0.248,0.116,0.11592100000000001
Chronos-2 120M (independent quantile sampling),3,EWY,0.229,0.219,0.199,0.21,0.143,0.07964059999999999
Chronos-2 120M (independent quantile sampling),3,EWZ,0.291,0.178,0.135,0.173,0.223,0.2546373999999999
Chronos-2 120M (independent quantile sampling),3,FTV,0.233,0.208,0.177,0.19,0.192,0.25671160000000004
Chronos-2 120M (independent quantile sampling),3,GOOG,0.287,0.144,0.132,0.17,0.267,0.1336776
Chronos-2 120M (independent quantile sampling),3,GPC,0.147,0.158,0.159,0.221,0.315,0.15983099999999997
Chronos-2 120M (independent quantile sampling),3,GSG,0.138,0.122,0.139,0.214,0.387,0.1243228
Chronos-2 120M (independent quantile sampling),3,HIG,0.24,0.144,0.162,0.205,0.249,0.11303460000000001
Chronos-2 120M (independent quantile sampling),3,HIGH.L,0.017,0.41,0.525,0.047,0.001,0.0369846
Chronos-2 120M (independent quantile sampling),3,HST,0.19,0.1,0.088,0.195,0.427,0.13788260000000002
Chronos-2 120M (independent quantile sampling),3,HYG,0.023,0.336,0.472,0.163,0.006,0.16400140000000002
Chronos-2 120M (independent quantile sampling),3,IAU,0.109,0.292,0.313,0.236,0.05,0.0909956
Chronos-2 120M (independent quantile sampling),3,ICLN,0.289,0.149,0.118,0.164,0.28,0.22058019999999998
Chronos-2 120M (independent quantile sampling),3,IEAA.L,0.004,0.413,0.566,0.017,0.0,0.06803879999999998
Chronos-2 120M (independent quantile sampling),3,IEF,0.055,0.44,0.407,0.098,0.0,0.0515308
Chronos-2 120M (independent quantile sampling),3,IEFM.L,0.174,0.264,0.208,0.216,0.138,0.09809600000000002
Chronos-2 120M (independent quantile sampling),3,IEMG,0.21,0.245,0.223,0.214,0.108,0.09129460000000002
Chronos-2 120M (independent quantile sampling),3,IEUS,0.25,0.22,0.216,0.2,0.114,0.0789984
Chronos-2 120M (independent quantile sampling),3,IEVL.L,0.151,0.217,0.201,0.261,0.17,0.1021772
Chronos-2 120M (independent quantile sampling),3,IGF,0.072,0.194,0.305,0.319,0.11,0.23881619999999995
Chronos-2 120M (independent quantile sampling),3,INDA,0.141,0.218,0.217,0.265,0.159,0.2707638
Chronos-2 120M (independent quantile sampling),3,IUMO.L,0.265,0.21,0.201,0.188,0.136,0.18786440000000001
Chronos-2 120M (independent quantile sampling),3,IUVL.L,0.208,0.237,0.216,0.205,0.134,0.07483320000000002
Chronos-2 120M (independent quantile sampling),3,IVV,0.157,0.201,0.198,0.283,0.161,0.07517399999999999
Chronos-2 120M (independent quantile sampling),3,IWM,0.204,0.217,0.189,0.211,0.179,0.0805996
Chronos-2 120M (independent quantile sampling),3,IXN,0.218,0.167,0.162,0.215,0.238,0.1375204
