symbol,eodhd_identifier,identifiers_tried,status,n_observations,first_date,last_date,dataset_a_identity_check,dataset_a_return_corr,dataset_a_overlap_obs,note
DXC,DXC.US,DXC.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWA,EWA.US,EWA.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWC,EWC.US,EWC.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWG,EWG.US,EWG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWH,EWH.US,EWH.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWJ,EWJ.US,EWJ.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWL,EWL.US,EWL.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWQ,EWQ.US,EWQ.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWT,EWT.US,EWT.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWU,EWU.US,EWU.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWY,EWY.US,EWY.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
EWZ,EWZ.US,EWZ.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
FTV,FTV.US,FTV.US,ok,1671,2016-06-13,2023-02-03,match,0.999999,779,
GOOG,GOOG.US,GOOG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
GPC,GPC.US,GPC.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
GSG,GSG.US,GSG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
HIG,HIG.US,HIG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
HIGH.L,HIGH.LSE,HIGH.LSE,ok,1352,2017-09-25,2023-02-03,match,0.999829,781,
HST,HST.US,HST.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
HYG,HYG.US,HYG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
IAU,IAU.US,IAU.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
ICLN,ICLN.US,ICLN.US,ok,3547,2009-01-02,2023-02-03,match,0.999999,779,
IEAA.L,IEAA.LSE,IEAA.LSE,ok,1354,2017-09-25,2023-02-03,match,0.999999,781,
IEF,IEF.US,IEF.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
IEFM.L,IEFM.LSE,IEFM.LSE,ok,2034,2015-01-19,2023-02-03,match,1.0,781,
IEMG,IEMG.US,IEMG.US,ok,2588,2012-10-22,2023-02-03,match,1.0,779,
IEUS,IEUS.US,IEUS.US,ok,3501,2009-01-02,2023-02-03,match,0.999995,779,
IEVL.L,IEVL.LSE,IEVL.LSE,ok,2033,2015-01-19,2023-02-03,match,0.999975,781,
IGF,IGF.US,IGF.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
INDA,INDA.US,INDA.US,ok,2744,2012-02-03,2023-02-03,match,0.999999,779,
IUMO.L,IUMO.LSE,IUMO.LSE,ok,1299,2016-11-03,2023-02-03,match,0.999989,779,
IUVL.L,IUVL.LSE,IUVL.LSE,ok,1592,2016-10-17,2023-02-03,match,0.999995,781,
IVV,IVV.US,IVV.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
IWM,IWM.US,IWM.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
IXN,IXN.US,IXN.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
JPEA.L,JPEA.LSE,JPEA.LSE,ok,1466,2017-04-13,2023-02-03,match,0.999981,781,
JPM,JPM.US,JPM.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
KR,KR.US,KR.US,ok,3547,2009-01-02,2023-02-03,MISMATCH - check identifier,0.944409,779,
LQD,LQD.US,LQD.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
MCHI,MCHI.US,MCHI.US,ok,2976,2011-03-31,2023-02-03,match,1.0,779,
META,META.US,META.US,ok,2696,2012-05-18,2023-02-03,match,1.0,779,
MVEU.L,MVEU.LSE,MVEU.LSE,ok,2363,2012-12-11,2023-02-03,match,0.999756,773,
OGN,OGN.US,OGN.US,ok,435,2021-05-14,2023-02-03,match,1.0,435,
PG,PG.US,PG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
PPL,PPL.US,PPL.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
PRU,PRU.US,PRU.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
PYPL,PYPL.US,PYPL.US,ok,1911,2015-07-06,2023-02-03,match,1.0,779,
RE,EG.US,EG.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
REET,REET.US,REET.US,ok,2153,2014-07-10,2023-02-03,match,1.0,779,
ROL,ROL.US,ROL.US,ok,3547,2009-01-02,2023-02-03,match,0.999986,779,
ROST,ROST.US,ROST.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
SEGA.L,SEGA.LSE,SEGA.LSE,ok,2629,2009-06-04,2023-02-03,match,0.999576,781,
SHY,SHY.US,SHY.US,ok,3547,2009-01-02,2023-02-03,match,0.999972,779,
SLV,SLV.US,SLV.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
SPMV.L,SPMV.LSE,SPMV.LSE,ok,2513,2013-01-03,2023-02-03,match,0.999925,781,
TLT,TLT.US,TLT.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
UNH,UNH.US,UNH.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
URI,URI.US,URI.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
V,V.US,V.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
VRSK,VRSK.US,VRSK.US,ok,3355,2009-10-07,2023-02-03,match,1.0,779,
VXX,VXX.US,VXX.US,ok,1271,2018-01-18,2023-02-03,match,1.0,779,
WRK,WRK.US,WRK.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLB,XLB.US,XLB.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLC,XLC.US,XLC.US,ok,1166,2018-06-19,2023-02-03,match,1.0,779,
XLE,XLE.US,XLE.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLF,XLF.US,XLF.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLI,XLI.US,XLI.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLK,XLK.US,XLK.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLP,XLP.US,XLP.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLU,XLU.US,XLU.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLV,XLV.US,XLV.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XLY,XLY.US,XLY.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
XOM,XOM.US,XOM.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
